state_code,latitude,longitude,founded_at,age_first_funding_year,age_last_funding_year,funding_rounds,funding_total_usd,category_code,has_VC,has_angel,has_seriesA,has_seriesB,has_seriesC,has_seriesD,avg_participants,is_top500,status
GA,33.776834,-84.3895875,6/1/2006,2.4493,2.4493,2,1000000,software,Yes,Yes,No,No,No,No,2,No,closed
NY,40.730646,-73.986614,1/1/1996,11.3342,11.3342,1,7410000,biotech,Yes,No,No,No,No,No,3,Yes,closed
CA,37.404788,-121.940842,1/1/2000,6.8932,10.4082,3,52800000,semiconductor,Yes,No,No,No,Yes,No,5.3333,Yes,acquired
CA,33.97279,-118.427578,1/1/2001,4.6685,9.1178,3,37000000,software,No,No,Yes,Yes,Yes,No,1.3333,Yes,closed
CA,37.7983181,-122.4000032,12/1/2007,1.137,3.737,3,14229998,web,No,No,Yes,Yes,No,No,3,Yes,acquired
CA,37.320309,-122.05004,1/1/2009,0.7205,2.4356,2,3000000,messaging,No,No,Yes,Yes,No,No,2.5,Yes,acquired
NY,40.730646,-73.986614,1/1/2005,4.0384,4.0384,1,20000000,advertising,No,No,Yes,No,No,No,1,No,acquired
RI,51.43247,-2.664213,11/1/2008,0.7479,2.0959,2,2000000,advertising,No,Yes,No,No,No,No,1.5,Yes,acquired
DC,38.897976,-77.028561,1/1/2003,3.8192,6.0932,2,19900000,software,Yes,No,No,Yes,No,No,2,Yes,acquired
CA,37.781689,-122.391061,9/1/2006,1.2493,1.2493,1,1500000,ecommerce,No,No,No,No,No,No,1,No,closed
CA,37.779281,-122.419236,7/1/2009,0,0,1,325000,cleantech,No,Yes,No,No,No,No,4,No,closed
CA,37.787249,-122.3990501,9/1/2010,0.463,0.463,1,3500000,enterprise,No,No,Yes,No,No,No,5,Yes,closed
WA,47.602873,-122.336132,1/1/2004,2.0027,4.3863,4,30000000,network_hosting,No,Yes,Yes,Yes,No,No,2,Yes,closed
CA,39.78373,-100.445882,1/1/2003,4.2384,4.2384,1,50000000,biotech,No,No,No,No,No,Yes,6,Yes,acquired
NY,40.745003,-73.983229,1/1/2008,,1.4712,1,2000000,ecommerce,No,No,Yes,No,No,No,3,Yes,acquired
CA,37.52845,-122.263721,5/1/2005,,5.8356,6,72000000,advertising,Yes,No,Yes,Yes,Yes,Yes,2.3333,Yes,acquired
CA,34.045919,-118.16525,1/1/2004,1.6849,5.8493,3,27690547,cleantech,No,No,No,Yes,Yes,Yes,4.5,Yes,acquired
TX,33.068275,-96.711101,3/1/2004,2.189,2.189,1,9000000,semiconductor,No,No,No,Yes,No,No,4,Yes,closed
CA,37.287285,-121.942932,6/1/2008,0.4192,1.4658,2,7500000,enterprise,No,No,Yes,No,No,No,3.5,Yes,acquired
TX,30.271393,-97.748623,1/1/2007,0.6932,,2,10000000,,No,No,Yes,No,No,No,2,Yes,acquired
CA,34.142973,-118.140553,1/1/2006,1.4411,,4,5965000,software,Yes,No,Yes,No,No,No,1,No,acquired
CA,37.465645,-121.932202,4/1/2006,-0.2466,-0.2466,1,4000000,mobile,No,No,Yes,No,No,No,1,No,acquired
MI,42.548008,-83.214753,1/1/2003,5.1397,5.1397,1,5000000,advertising,Yes,No,No,No,No,No,1,No,closed
CA,37.32052,-121.948399,1/1/2004,1.0877,1.0877,1,11500000,advertising,No,No,Yes,No,No,No,2,Yes,acquired
IL,41.875555,-87.624421,1/1/2009,1.0356,2.1479,2,1050000,web,Yes,No,No,No,No,No,1,No,closed
NY,40.7566658,-73.9827553,1/1/2007,1.1644,1.3507,2,5500000,web,No,No,Yes,No,No,No,2,Yes,acquired
PA,39.951311,-75.169522,2/1/2007,0.8301,2.8329,3,5000000,advertising,No,Yes,Yes,No,No,No,1.6667,Yes,acquired
CA,37.406914,-122.09037,1/1/2011,-1.0521,0.6247,2,3700000,enterprise,Yes,No,No,No,No,No,3,No,closed
CA,36.9397206,-121.7768449,1/1/2006,,3.0082,2,7000000,software,No,No,Yes,No,No,No,2,No,closed
MA,42.375219,-71.056101,1/1/2005,,2.1616,2,32000000,network_hosting,No,No,Yes,Yes,No,No,3.5,Yes,closed
MA,42.358822,-71.104329,1/1/2007,0.7123,4.2301,3,7900000,advertising,No,No,Yes,No,No,No,2,No,acquired
CA,37.392443,-122.072517,4/1/2006,0.6685,6.2795,5,80000000,network_hosting,No,Yes,Yes,Yes,Yes,Yes,2.25,Yes,acquired
TX,30.280148,-97.749908,1/1/2005,4.8247,4.8247,1,5000000,mobile,Yes,No,No,No,No,No,1,Yes,closed
WA,47.638456,-122.356965,1/1/2006,1,3.1863,2,2100000,security,No,Yes,Yes,No,No,No,1.5,Yes,acquired
MD,39.116333,-77.181307,12/1/2004,0.2055,4.3973,4,22250000,enterprise,No,No,Yes,Yes,Yes,Yes,2.5,Yes,acquired
OR,45.520247,-122.674195,3/1/2011,0.5397,1.5014,2,1975000,enterprise,Yes,Yes,No,No,No,No,3,No,acquired
NY,40.723652,-73.985281,1/1/2008,0,0,1,1000000,web,No,Yes,No,No,No,No,1,Yes,acquired
PA,40.602206,-75.471279,1/1/2008,2.3452,2.3452,1,35000000,cleantech,No,No,No,No,Yes,No,1,No,closed
NY,37.480999,-122.173887,9/1/2005,0.0822,4.326,7,88651133,mobile,Yes,Yes,Yes,Yes,Yes,Yes,3.1667,Yes,acquired
MA,42.5656454,-71.3222696,1/1/2000,5.5945,5.5945,1,26000000,semiconductor,Yes,No,No,No,No,No,2,Yes,acquired
CA,34.054935,-118.244476,5/1/2010,0.6712,0.6712,1,100000,games_video,No,Yes,No,No,No,No,1,No,closed
CO,39.750152,-104.996438,6/1/2005,1,1,1,5000000,mobile,No,No,Yes,No,No,No,1,Yes,acquired
GA,34.062588,-84.16923,1/1/2000,6.8356,8.3096,2,7300000,biotech,Yes,No,Yes,No,No,No,3,Yes,closed
CA,37.406914,-122.09037,1/1/2003,2.0027,,3,64080000,biotech,No,No,Yes,Yes,Yes,No,4,Yes,acquired
RI,51.43247,-2.664213,7/1/2010,1.3425,,2,5800000,enterprise,No,Yes,Yes,No,No,No,4,Yes,acquired
CA,37.791388,-122.392148,1/1/2004,4.0027,5.7534,4,89500000,finance,No,No,No,Yes,Yes,No,1,Yes,closed
CA,37.788482,-122.409173,12/1/2006,0.5808,5.2521,4,23350000,games_video,No,Yes,Yes,Yes,No,No,3,Yes,acquired
MA,42.393662,-71.255855,10/1/2002,3.6877,5.9644,2,13500000,software,Yes,No,No,No,Yes,No,2.5,Yes,acquired
MA,42.496515,-71.480233,1/1/2000,7.3534,8.126,2,24500000,security,No,No,No,No,No,No,5.5,Yes,acquired
CA,37.534538,-122.252466,1/1/2002,3.6027,3.6027,1,10000000,public_relations,No,No,No,No,Yes,No,4,Yes,closed
UT,40.767013,-111.890431,1/1/2007,-1.9863,-1.9863,1,8500000,other,Yes,No,No,No,No,No,1,No,closed
TX,30.161661,-95.471256,1/1/1992,16.4192,16.4192,1,6000000,cleantech,No,No,No,Yes,No,No,3,No,closed
CA,37.424298,-122.139809,7/1/2008,1.337,1.337,1,2000000,software,No,No,Yes,No,No,No,2,Yes,acquired
TX,30.280148,-97.749908,6/1/2010,1.1123,1.937,2,4100000,enterprise,No,No,Yes,No,No,No,1.5,Yes,acquired
CA,37.40047,-122.072981,8/19/2004,0.3699,0.3699,1,6200000,search,No,No,Yes,No,No,No,2,Yes,acquired
CA,37.767575,-122.411157,1/1/2003,4.0877,,2,12250000,advertising,No,No,No,Yes,Yes,No,2.5,Yes,acquired
CA,37.779281,-122.419236,4/14/2003,3.3945,,2,11725600,mobile,No,No,Yes,Yes,No,No,2,Yes,acquired
MA,42.504817,-71.195611,1/1/2001,4.3151,5.8301,2,16000000,software,No,No,Yes,Yes,No,No,3,Yes,closed
WA,47.603832,-122.330062,8/11/2006,2.4767,4.3836,3,5056559,mobile,Yes,No,Yes,No,No,No,1.6667,Yes,acquired
CA,37.780883,-122.395257,1/1/2005,,0.4137,1,100000,,No,Yes,No,No,No,No,1,Yes,acquired
CA,37.779281,-122.419236,9/1/2001,,6.9671,3,68200000000,,Yes,Yes,No,No,No,No,4,Yes,acquired
CA,37.789429,-122.276524,1/1/2001,4.0877,9.3068,3,33000000,enterprise,Yes,No,No,Yes,No,Yes,3.6667,Yes,acquired
NC,35.986906,-78.896718,1/1/2009,1.7863,3.3014,3,3352194,analytics,No,Yes,Yes,No,No,No,9.5,No,closed
NY,40.750519,-73.993494,3/1/2010,1.4082,1.9068,2,2212000,analytics,No,Yes,Yes,No,No,No,3,Yes,acquired
CA,37.484347,-122.225803,1/1/2004,5.9014,7.2904,4,19800000,biotech,Yes,No,No,No,No,Yes,5,Yes,acquired
CA,37.566009,-122.321646,2/1/2010,0.8301,1.0986,2,4500000,web,No,Yes,Yes,No,No,No,3,Yes,closed
MA,42.2960173,-71.2128734,1/1/2004,4.0027,4.0055,2,14000000,software,Yes,No,No,Yes,No,No,1.5,Yes,acquired
FL,26.106273,-80.41894,11/11/2011,0.0548,0.0548,1,100000,social,No,Yes,No,No,No,No,1,No,closed
CA,37.4027811,-122.1441615,1/1/2004,2.3562,3.4274,2,9900000,software,No,No,Yes,Yes,No,No,2,Yes,acquired
CA,37.779281,-122.419236,1/1/2008,0,5.063,3,7600000,advertising,No,No,Yes,Yes,No,No,5,Yes,acquired
CA,34.430786,-119.715074,7/1/2008,0,0,1,50000,games_video,No,Yes,No,No,No,No,2,No,closed
CA,37.448944,-122.161415,2/1/2007,-0.0849,-0.0849,1,650000,public_relations,No,Yes,No,No,No,No,1,No,closed
CA,34.005914,-118.488129,1/1/2008,,2.7288,3,10500000,mobile,Yes,No,Yes,Yes,No,No,2,Yes,closed
CA,34.019657,-118.487549,1/1/2012,,0.4712,1,500000,web,No,Yes,No,No,No,No,1,No,acquired
CA,37.390501,-122.081151,1/1/2003,1.9342,4.0438,2,24300000,web,No,No,No,Yes,Yes,No,2.5,Yes,acquired
CA,37.386778,-121.966277,1/1/1999,7.4904,7.874,2,18000000,hardware,Yes,No,No,Yes,No,No,4,Yes,closed
CA,37.779507,-122.39071,5/1/2007,0.6548,3.5452,3,26000000,messaging,No,No,Yes,Yes,Yes,No,3.6667,Yes,acquired
CA,37.391642,-122.093935,1/1/2005,2.2466,,2,9500000,hardware,Yes,No,No,Yes,No,No,3,Yes,closed
MD,39.2328783,-76.8204666,1/1/2000,7.3151,,1,16980999,biotech,No,No,No,Yes,No,No,1,Yes,acquired
CA,37.419819,-122.090188,1/1/2004,1.0027,,1,5000000,games_video,No,No,Yes,No,No,No,3,No,closed
WA,47.657943,-117.421226,4/1/2007,1.6712,1.6712,1,350000,hardware,Yes,No,No,No,No,No,1,No,closed
MA,42.485691,-71.19862,1/1/2006,1.2384,4.9726,5,13130000,web,Yes,No,Yes,No,No,No,2,Yes,closed
WA,39.78373,-100.445882,1/1/2008,2.8247,2.8247,1,20000000,software,No,No,Yes,No,No,No,1,No,closed
MA,42.372912,-71.118999,6/1/2006,0.5014,3.2959,3,26500000,mobile,Yes,No,Yes,Yes,No,No,2,Yes,acquired
MA,42.432106,-71.453968,1/1/2002,3.6986,4.1041,2,15000000,enterprise,No,No,No,Yes,No,No,5,Yes,acquired
MD,39.414219,-77.410927,1/1/2002,4.3041,4.3041,1,2600000,public_relations,No,No,Yes,No,No,No,1,No,closed
CA,37.54827,-121.988572,1/1/2004,2.3973,6.0329,4,21470000,cleantech,No,No,Yes,Yes,No,No,3.5,Yes,closed
TX,30.280148,-97.749908,5/1/2010,0,0,1,20,mobile,No,Yes,No,No,No,No,1,No,closed
CA,37.384239,-122.012475,1/1/2005,1.9151,,2,3600000,web,No,Yes,Yes,No,No,No,1,No,closed
NY,40.728425,-73.999882,5/1/2005,0.8329,,7,27300000,games_video,No,Yes,Yes,Yes,Yes,Yes,,Yes,acquired
CA,37.779281,-122.419236,1/1/2012,0.5863,0.5863,1,2600000,ecommerce,No,No,Yes,No,No,No,2,No,acquired
CA,37.424298,-122.139809,1/1/2010,0.8027,0.8027,1,5000000,web,No,No,Yes,No,No,No,1,Yes,closed
CA,32.897274,-117.201076,1/1/2004,4.7589,6.2247,2,17000000,mobile,No,No,Yes,Yes,No,No,3.5,Yes,acquired
ME,43.643967,-70.923675,1/1/2008,4.3699,4.3699,1,662000,manufacturing,No,No,Yes,No,No,No,3,No,closed
NY,40.73901,-73.997259,1/1/2010,0,1.0247,2,3750000,hospitality,No,Yes,Yes,No,No,No,4,Yes,acquired
CA,37.764726,-122.394523,10/11/2004,0.9726,6.7534,4,45000000,news,No,No,Yes,Yes,Yes,Yes,4.6667,Yes,acquired
NY,40.7473113,-73.9549182,11/1/2007,,5.863,2,6700000,music,Yes,No,No,No,No,No,8,Yes,acquired
CA,37.536402,-122.325129,1/1/2006,0.1753,3.8795,3,20750000,hardware,Yes,No,Yes,Yes,No,No,2.3333,Yes,acquired
CA,37.786942,-122.401245,1/1/2006,1.1616,7.5041,4,19000000,games_video,No,No,Yes,Yes,Yes,No,2,Yes,acquired
CA,37.778613,-122.395289,10/1/2006,-0.4192,0.6658,3,22500000,search,Yes,No,Yes,No,No,No,4,Yes,acquired
CA,37.792394,-122.402349,5/1/2005,0.5041,3.0986,3,7300000,advertising,No,Yes,Yes,Yes,No,No,2,Yes,acquired
WA,39.78373,-100.445882,3/3/2005,0.7479,7.8247,7,26390819,web,Yes,No,Yes,Yes,No,No,1.3333,Yes,closed
WA,47.582658,-122.135282,11/1/2004,4.4959,4.4959,1,10000000,software,No,No,No,No,Yes,No,3,Yes,acquired
NY,40.73901,-73.997259,9/1/2010,0.0849,,1,31000,web,No,Yes,No,No,No,No,2,No,closed
CA,37.451026,-122.18676,10/1/2005,1.7479,2.7288,3,21500000,mobile,No,No,Yes,Yes,No,No,3.3333,Yes,acquired
CO,39.540323,-104.857271,1/1/2002,4.8521,4.8521,1,4000000,,No,No,No,No,No,No,5,Yes,acquired
CA,33.020832,-117.077311,7/1/2006,0.5041,3.7068,3,9400000,,Yes,No,Yes,Yes,No,No,4,Yes,acquired
NY,37.402802,-122.117418,4/16/2007,0.0411,2.1288,3,5600000,web,No,No,Yes,Yes,No,No,2,Yes,acquired
CA,37.782101,-122.389519,8/1/2006,2.0027,3.0466,2,6000000,finance,No,No,Yes,Yes,No,No,2.5,Yes,acquired
GA,33.7862629,-84.3877936,10/31/2000,2.137,10.1288,4,60704370,transportation,Yes,No,No,Yes,No,Yes,2,Yes,acquired
CA,37.7822788,-122.392978,4/1/2009,0.7534,3.0712,3,2000000,sports,No,Yes,No,No,No,No,3.6667,Yes,acquired
CA,37.778551,-122.391686,11/1/2008,0.4548,0.7041,2,1000000,finance,Yes,No,Yes,No,No,No,5.5,Yes,acquired
PA,40.012771,-75.239234,10/17/2007,1.126,1.4055,2,200000,games_video,No,Yes,Yes,No,No,No,2,Yes,closed
CA,37.628328,-122.420814,1/1/2007,1.8658,1.8658,1,2300000,cleantech,No,No,Yes,No,No,No,2,Yes,closed
CA,37.7885714,-122.4035985,1/1/2006,2.2164,2.2164,1,1000000,mobile,No,No,Yes,No,No,No,1,Yes,closed
CA,37.779624,-122.391236,11/1/2003,0.8356,5.7534,5,24750000,music,Yes,Yes,Yes,Yes,No,No,2.4,Yes,acquired
IL,42.055849,-87.694664,5/15/2005,2.5534,6.3945,2,12800000,software,No,No,Yes,Yes,No,No,2,Yes,closed
CA,37.4305755,-122.0971389,1/1/2001,4.2384,6.5753,2,30500000,enterprise,No,No,No,No,No,Yes,4.5,Yes,acquired
CA,33.133524,-117.254593,1/1/2003,5.5671,8.5342,3,36300000,automotive,Yes,No,No,No,Yes,No,1.5,Yes,closed
CA,37.779281,-122.419236,1/1/2008,2.1726,3.0849,3,6693782,real_estate,Yes,No,No,No,No,No,1.6667,Yes,acquired
CA,32.901049,-117.192656,1/1/1996,11.4329,11.4329,1,20000000,hardware,No,No,No,No,Yes,No,5,Yes,closed
CA,37.316653,-122.05074,1/1/2005,3.4767,3.4767,1,11370000,network_hosting,No,No,Yes,No,No,No,2,Yes,acquired
CA,34.090368,-118.393064,6/1/2006,0.5863,2.6384,3,16500000,web,No,No,Yes,Yes,Yes,No,1.3333,Yes,acquired
CA,37.794891,-122.397901,9/1/2008,0,0,1,250000,network_hosting,No,Yes,No,No,No,No,3,No,closed
NY,40.7043822,-73.9865717,8/1/2006,0.5041,3.3562,5,14400000,web,No,Yes,Yes,Yes,No,No,5.8,Yes,acquired
NY,40.756054,-73.986951,9/1/2007,0,3.9562,5,90000000,enterprise,Yes,No,Yes,Yes,Yes,Yes,3.8,Yes,acquired
CA,37.797435,-122.403175,2/14/2005,1.0164,7.1534,4,13075000,advertising,No,No,Yes,Yes,No,No,4,Yes,acquired
CA,37.388077,-122.08316,6/1/2007,-0.4986,-0.4137,2,26000000,games_video,No,No,Yes,No,Yes,No,2.5,Yes,acquired
MA,42.504817,-71.195611,1/1/2008,3.1616,3.6904,2,16300000,enterprise,No,No,No,Yes,No,No,2,Yes,acquired
TX,30.409765,-97.75101,1/1/2003,4.4521,7.2274,2,5992316,enterprise,Yes,No,Yes,No,No,No,2,No,acquired
CA,32.962655,-117.189656,1/1/2007,3.0575,5.011,4,89400001,biotech,Yes,No,Yes,Yes,No,No,4.3333,Yes,acquired
CA,37.4233698,-122.0986859,5/10/2005,0.8027,0.8027,1,1200000,software,No,No,Yes,No,No,No,1,No,closed
NY,40.729839,-73.991781,1/1/2009,1.1836,1.3781,2,1900000,web,No,Yes,Yes,No,No,No,2.5,Yes,closed
CA,37.779281,-122.419236,1/1/1999,9.3534,12.4055,3,30300000,games_video,Yes,No,No,No,No,Yes,4.5,Yes,closed
NY,40.730646,-73.986614,8/29/2006,2.0027,2.0027,1,500000,web,No,Yes,No,No,No,No,5,No,closed
CA,34.049767,-118.459387,8/1/2006,0,6.9671,5,74000000,network_hosting,No,Yes,Yes,Yes,Yes,Yes,1.75,Yes,acquired
TX,32.945354,-96.708874,1/1/2000,7.1205,7.1205,1,18800000,semiconductor,No,No,No,No,Yes,No,7,Yes,acquired
MI,42.8138649,-86.023846,1/1/2009,0.3288,0.3288,1,20000,web,No,Yes,No,No,No,No,1,No,closed
VA,38.969532,-77.385948,1/1/2009,0.1616,2.1781,4,3350000,mobile,No,Yes,Yes,Yes,No,No,1.5,No,acquired
NJ,40.944543,-74.075419,1/1/2005,5.0192,5.0192,1,26100000,biotech,Yes,No,No,No,No,No,2,Yes,acquired
PA,40.441694,-79.990086,1/1/2009,1.411,2.5151,2,1213066,enterprise,Yes,No,No,No,No,No,1,Yes,closed
CA,37.425359,-122.1389633,1/1/2008,0.8438,4.2219,3,240300000000,advertising,No,No,Yes,Yes,No,No,3.6667,Yes,acquired
CA,37.764169,-122.402021,10/1/2006,0.4986,3.4247,3,13100000,travel,No,Yes,No,Yes,Yes,No,1.6667,Yes,acquired
NY,40.757929,-73.985506,4/1/2008,0.0822,1.7671,3,560001,software,Yes,Yes,No,No,No,No,3.5,Yes,acquired
MN,44.9773,-93.265469,1/1/2009,2.8493,2.8493,1,3500000,enterprise,No,No,Yes,No,No,No,2,Yes,acquired
MA,42.368633,-71.075305,1/1/2005,0.1616,7.5041,7,121500000,mobile,Yes,No,Yes,Yes,Yes,Yes,4.5,Yes,acquired
CA,37.409096,-121.943191,1/1/2005,0.9726,3.8438,4,42500000,mobile,Yes,No,Yes,Yes,Yes,No,2.5,Yes,acquired
NC,35.996653,-78.901805,1/1/2000,5.4384,6.4192,2,36000000,software,Yes,No,No,No,No,Yes,3.5,Yes,acquired
CA,37.793949,-122.398062,8/1/2005,2.5973,2.5973,1,12170000,enterprise,No,No,No,No,Yes,No,3,Yes,closed
NY,40.730646,-73.986614,1/1/2002,5.7534,5.7534,1,1000000,software,No,No,Yes,No,No,No,3,Yes,acquired
CA,38.88521,-76.998641,7/1/2008,3.337,3.937,3,1820000,mobile,No,Yes,No,No,No,No,1,No,acquired
WA,30.6324797,-86.9843446,10/1/2003,4.6,9.4164,4,5700000000,mobile,No,No,No,No,No,No,4.25,Yes,acquired
TX,32.960431,-96.83026,1/1/2001,6.9699,6.9699,1,5000000,security,No,No,No,No,Yes,No,5,Yes,acquired
NY,40.750519,-73.993494,1/1/2010,0.8384,,2,18800000,fashion,No,No,Yes,Yes,No,No,2.5,Yes,acquired
CA,37.406914,-122.09037,1/1/2003,2.3452,,2,72300000,advertising,No,No,No,Yes,Yes,No,4.5,Yes,acquired
CA,33.685697,-117.825982,3/6/2009,-0.137,,3,1310000,social,No,Yes,No,No,No,No,1,No,acquired
MA,42.479262,-71.152277,1/1/2003,2.4164,,2,15000000,software,No,No,Yes,Yes,No,No,2.5,Yes,closed
NY,40.7516611,-73.9843328,3/1/2004,2.2521,4.7397,3,39007789,,No,No,Yes,Yes,Yes,No,3,Yes,acquired
MA,42.504817,-71.195611,1/1/2004,2.0685,2.0685,1,25000000,,No,No,No,No,No,Yes,5,Yes,acquired
MA,42.360253,-71.058291,1/1/2009,0.3288,2.0932,3,172500,web,No,Yes,No,No,No,No,1,No,acquired
NY,40.730646,-73.986614,3/12/2009,1.6658,2.1123,2,6100000,social,No,No,Yes,Yes,No,No,1,Yes,acquired
CA,37.862592,-122.493561,1/1/2004,2.2192,7.9315,3,40300000,mobile,Yes,No,No,Yes,Yes,No,4,Yes,acquired
CA,34.098242,-118.35697,1/8/2011,0.3616,0.3616,1,100000,ecommerce,No,Yes,No,No,No,No,1,No,closed
WA,47.6399006,-122.1914274,9/1/2007,0.3342,5.4904,5,19389998,education,Yes,No,Yes,Yes,Yes,No,1.5,Yes,acquired
CA,37.626166,-122.411025,1/1/2000,2.4822,4.8192,2,61500000,hardware,No,No,No,Yes,No,Yes,4,Yes,acquired
CA,37.779281,-122.419236,1/1/2007,3.4411,3.4411,1,6000000,software,No,No,Yes,No,No,No,2,Yes,acquired
MA,42.360253,-71.058291,1/1/2004,-0.0027,5.0055,4,19100000,mobile,No,No,Yes,Yes,Yes,No,2.5,Yes,acquired
NY,40.756054,-73.986951,10/17/2008,0.2219,2.0548,4,3499997,advertising,Yes,No,Yes,No,No,No,1.5,Yes,acquired
CA,37.502742,-122.211281,3/1/2006,1.2521,1.874,3,2600000,network_hosting,No,Yes,Yes,No,No,No,3.6667,Yes,acquired
CA,37.779281,-122.419236,12/11/2009,-0.4466,1.1479,3,2023000,web,No,Yes,Yes,No,No,No,1.3333,Yes,acquired
CA,33.685697,-117.825982,1/1/2002,5.1068,5.1068,1,25000000,semiconductor,Yes,No,No,No,No,No,4,Yes,acquired
CA,34.019657,-118.487549,3/1/2009,0.7205,3.5945,4,66000000,fashion,Yes,No,Yes,Yes,Yes,No,2.3333,Yes,acquired
NY,40.74929,-73.981328,9/1/2009,1.4192,1.4466,2,1000000,advertising,No,Yes,No,No,No,No,3.5,No,acquired
CA,37.424298,-122.139809,1/1/2010,1.3288,2.063,2,13000000,mobile,No,No,Yes,Yes,No,No,,Yes,acquired
MA,42.37564,-71.2358,1/1/1998,7.6932,14.0329,3,24150000,software,Yes,No,Yes,Yes,No,No,2.3333,Yes,closed
CA,37.354469,-121.990433,1/1/2004,5.8411,8.2219,3,47218498,semiconductor,Yes,No,No,No,Yes,Yes,3.3333,Yes,closed
MA,42.37564,-71.2358,1/1/2002,3.6137,4.3753,2,11800000,search,No,No,No,No,Yes,Yes,4.5,Yes,acquired
NV,35.96544,-115.106579,9/1/2008,1.5973,2.1781,2,2387481,analytics,Yes,No,No,No,No,No,1,Yes,closed
MA,42.346743,-71.076632,1/1/2000,0.8356,7.5863,4,33000000,consulting,Yes,No,Yes,Yes,Yes,No,2.5,Yes,acquired
VA,38.872668,-77.367981,1/1/2005,2.6712,3.8822,2,7500000,software,No,No,Yes,Yes,No,No,1.5,Yes,acquired
CA,37.404788,-121.940842,1/1/2000,6.7479,6.7479,1,25000000,biotech,No,No,No,No,Yes,No,1,Yes,acquired
CA,37.386778,-121.966277,1/1/2002,3.7096,8.9562,4,25305000,software,Yes,No,Yes,Yes,Yes,No,2,Yes,acquired
CA,37.444531,-122.163352,1/1/2008,0.8356,1.8986,2,4950000,web,No,Yes,Yes,No,No,No,12.5,Yes,acquired
CA,37.379684,-121.97514,8/29/2003,2.2712,6.3781,6,53816776,software,Yes,No,No,Yes,Yes,Yes,5,Yes,acquired
NY,37.809782,-122.417306,6/1/2005,-0.1671,0.9151,2,3500000,web,No,No,Yes,Yes,No,No,5.5,Yes,acquired
CA,37.388869,-122.072353,4/1/2007,5.0767,5.0767,1,5000000,enterprise,No,No,Yes,No,No,No,1,No,acquired
CA,37.384756,-122.087712,6/1/2007,0,2.5397,3,2515000,network_hosting,Yes,Yes,Yes,No,No,No,1.6667,Yes,acquired
MA,42.6161515,-71.3258687,1/1/2006,1.0849,2.4986,2,8400000,web,No,No,Yes,Yes,No,No,2,Yes,acquired
CA,34.01695,-118.451933,1/1/2004,2.5836,4.0027,2,4900000,mobile,No,No,Yes,Yes,No,No,1,Yes,closed
WA,47.614422,-122.192337,1/1/2001,4.2959,4.2959,1,5000000,software,Yes,No,No,No,No,No,5,Yes,closed
NY,40.825655,-73.467622,1/1/1981,34.4904,34.4904,1,11000000,public_relations,No,No,No,No,Yes,No,3,Yes,acquired
CA,37.381876,-121.95993,1/1/2000,1.0027,8.2548,4,68400000,mobile,Yes,No,Yes,No,Yes,Yes,4,Yes,acquired
CA,37.779281,-122.419236,1/1/2007,3.0877,4.2795,2,2000000,software,No,Yes,Yes,No,No,No,8.5,Yes,acquired
NY,40.730646,-73.986614,4/1/2006,0.6685,1.926,2,10800000,enterprise,Yes,No,Yes,No,No,No,2,Yes,closed
NY,40.729839,-73.991781,5/9/2005,-0.0219,5.2329,5,37000000,news,Yes,No,Yes,Yes,Yes,No,2.5,Yes,acquired
CA,37.419347,-122.089639,1/1/2004,2.5233,2.5233,1,7660000,security,No,No,Yes,No,No,No,6,Yes,acquired
MA,42.537592,-71.51201,1/1/2005,0.3397,5.2247,4,48730000,software,Yes,No,Yes,Yes,Yes,No,3,Yes,acquired
CA,34.054935,-118.244476,1/1/2009,0,1.4137,2,3350000,messaging,No,Yes,Yes,No,No,No,2.5,Yes,closed
CA,34.141876,-118.132377,9/1/2003,3.8767,7.1973,4,28000000,ecommerce,Yes,No,No,Yes,Yes,No,3,Yes,closed
TX,30.2702703,-97.742204,1/1/2010,1.4959,1.4959,1,2500000,analytics,No,No,Yes,No,No,No,2,Yes,acquired
IL,41.889474,-87.628912,2/1/2004,0.3315,1.1644,2,8000000,web,No,No,Yes,Yes,No,No,4,Yes,acquired
NY,40.73901,-73.997259,10/1/2007,0.5836,1.6521,2,-540000,web,No,Yes,No,No,No,No,2.5,Yes,acquired
CA,37.780716,-122.393913,1/1/2006,0,1.2466,2,3100000,games_video,No,Yes,Yes,No,No,No,2,Yes,acquired
NY,40.750519,-73.993494,4/4/2009,1.0904,2.326,2,1200000,mobile,No,Yes,Yes,No,No,No,6,Yes,acquired
NY,40.752516,-73.973072,6/1/2007,0,0,1,5000000,,No,No,Yes,No,No,No,2,No,closed
CA,37.785655,-122.398393,8/18/2004,0.6658,7.3753,6,37079000,,Yes,No,No,No,Yes,Yes,3.8,Yes,acquired
MA,42.528635,-71.278022,1/1/2002,4.3315,11.1699,4,135826373,other,No,No,No,Yes,No,Yes,4.3333,Yes,acquired
CA,32.88945,-117.166929,1/1/2008,-0.3342,0.2301,2,5000000,mobile,Yes,Yes,No,No,No,No,1,Yes,closed
NY,40.728425,-73.999882,1/1/2011,,1.0849,4,4200000,software,No,Yes,Yes,No,No,No,3,Yes,acquired
WA,47.5989681,-122.3329036,1/1/2005,,3.5808,1,4100000,web,Yes,No,No,No,No,No,1,Yes,closed
CA,37.222698,-121.979887,1/1/2011,0.7726,0.7726,1,2000000,web,No,No,No,No,No,No,1,No,closed
